order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_id,order_status,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_category_name_english,order_purchase_date,order_purchase_year,order_purchase_month,order_purchase_day,order_purchase_hour
0006ec9db01a64e59a68b2c340bf65a7,1.0,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2018-07-26 17:24:20,74.0,23.32,5d178120c29c61748ea95bac23cb8f25,delivered,1.0,credit_card,4.0,97.32,6322c405c0f34bf3ad870fd1a6b1fced,5.0,7ed0ea20347f67fe61d1c99fdf8556ae,21810.0,rio de janeiro,RJ,bed_bath_table,2018-07-24 17:00:00,2018,July,24,17
000aed2e25dbad2f9ddb70584c5a2ded,1.0,4fa33915031a8cde03dd0d3e8fb27f01,fe2032dab1a61af8794248c8196565c9,2018-05-16 20:57:03,144.0,8.77,fff5169e583fd07fac9fec88962f189d,delivered,1.0,credit_card,1.0,152.77,00800678dcf28b0ea0caef2147b6945d,1.0,6457be0b331148fb5454efc88d1e03d9,13458.0,santa barbara d'oeste,SP,perfumery,2018-05-11 20:00:00,2018,May,11,20
00130c0eee84a3d909e75bc08c5c3ca1,1.0,89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,2018-06-14 05:16:24,27.9,7.94,47d656c08a282ec5ab4c1f18303a3a30,delivered,1.0,boleto,1.0,35.84,4ff9a24999699f7104ed23fec2563351,5.0,b5910f24d2483d697b37e3857b621061,9820.0,sao bernardo do campo,SP,food,2018-06-11 21:00:00,2018,June,11,21
001e7cf2ad6bef3ade12ebc56ceaf0f3,1.0,bdcf6a834e8faa30dac3886c7a58e92e,2a84855fd20af891be03bc5924d2b453,2018-05-22 10:59:50,35.9,15.2,d1684ed69f8fd574b7c344de923f379a,delivered,1.0,credit_card,2.0,51.1,048baba3f11436d12b06dab572aafc21,1.0,43860f86362fea12550bfa19ef73015f,38550.0,coromandel,MG,health_beauty,2018-05-19 10:00:00,2018,May,19,10
002175704e8b209f61b9ad5cfd92b60e,1.0,e6b6e13cf71449a457269f425b89dc74,b2ba3715d723d245138f291a6fe42594,2018-04-26 12:30:57,109.9,13.21,a562db3c7cb9a68947debd30879b491e,delivered,1.0,credit_card,3.0,123.11,78412bf6c796b43df999fd87750d28ea,4.0,e7d41c19da317af0612170197303d5a9,14802.0,araraquara,SP,audio,2018-04-22 12:00:00,2018,April,22,12
0025c5d1a8ca53a240ec2634bb4492ea,1.0,35537536ed2b4c561b4018bf3abf54e0,955fee9216a65b617aa5c0531780ce60,2018-07-10 09:30:09,390.0,29.39,2430ad4b1b6efb56cf3050b5d3cf5e54,delivered,1.0,credit_card,7.0,419.39,eba375fa5fe6f3dc7ca2aa6682b46170,5.0,fa78b26c2fa23b2ebda98c2926305c1d,61979.0,amanari,CE,sports_leisure,2018-07-08 09:00:00,2018,July,8,9
0036757472ece3dde52fd4bfd929c90e,1.0,4c1bbc12438daec98a77243c2bf7a3ba,7c67e1448b00f6e969d365cea6b010ab,2018-08-08 15:10:11,136.99,66.04,ea477083e770db0655938e79149f8c24,delivered,1.0,debit_card,1.0,203.03,5c21268a0f8bae726edb3aa4db3e6bde,2.0,be03685420bb977861dda08f4b4088b3,17063.0,bauru,SP,office_furniture,2018-07-19 14:00:00,2018,July,19,14
0039500db36d50d7d0bfaf23723550f3,1.0,62984ea1bba7fcea1f5b57084d3bf885,c3cfdc648177fdbbbb35635a37472c53,2018-07-10 10:51:09,169.9,33.33,90bd9911aed064dfc625750fbd83ebca,delivered,1.0,credit_card,2.0,203.23,c91d4ae7473872e0696bcb22a5a92df0,5.0,77971c2442b1adbbe0448409df2ea56a,57041.0,maceio,AL,sports_leisure,2018-07-06 10:00:00,2018,July,6,10
003cc6161d7a2593f2525cce0c330d32,1.0,fadc89c2a60ff96b18827644074dfd70,53e4c6e0f4312d4d2107a8c9cddf45cd,2018-08-07 20:04:14,85.0,12.9,7d9802889236ab8fc541bfb438978cd7,delivered,1.0,credit_card,4.0,97.9,4910a0d41fca570cb921f0090ed5c4f8,5.0,0c35f915ac95c942a535a99bc22524a8,2722.0,sao paulo,SP,housewares,2018-08-03 19:00:00,2018,August,3,19
003edccf16bc5ec447f592913b3df2b4,1.0,500870614ddcf5bd84f7d26861026c8a,ef506c96320abeedfb894c34db06f478,2018-07-12 10:15:21,14.0,50.85,ab3642244247c0c638253fe68ee4c345,delivered,1.0,credit_card,1.0,64.85,90033a3865e39835ba7e8526f6c8f3de,5.0,5c96a427e784b5e917f5a4fbf0f9e84a,65350.0,vitoria do mearim,MA,telephony,2018-07-07 09:00:00,2018,July,7,9
004345d16a1ab2c21962992c721c8643,1.0,d0fb1e667e989933a80444f93da833c0,0be8ff43f22e456b4e0371b2245e4d01,2018-07-10 07:31:33,37.9,15.37,3b723b649feb48f3cfbb9c728efb3d7d,delivered,1.0,voucher,1.0,53.27,7f05ffaf413a01b93e9cbe3e527a91ab,5.0,8c07068e51d745035b296ebc1c8cd16a,72914.0,aguas lindas de goias,GO,housewares,2018-07-04 06:00:00,2018,July,4,6
004b62108b876867938746ad3154167f,1.0,c589625c8ccc7bfd2e8f1fb041e24c4a,c70c1b0d8ca86052f45a432a38b73958,2018-07-10 05:31:03,110.32,8.03,7ddb7e4242fcc518842aade22f5bee4d,delivered,1.0,boleto,1.0,118.35,ed90272bfebd71826ce6620baff11b03,5.0,49e67d53accc3f7540aa695b147e8b05,4547.0,sao paulo,SP,health_beauty,2018-07-04 20:00:00,2018,July,4,20
004ca5ae248069d68e8594df8abf6ce0,1.0,cd71c76f5ab15f51f24fb214fc42d8ab,620c87c171fb2a6dd6e8bb4dec959fc6,2018-06-14 18:52:39,159.9,61.18,576908744ae56c9cf061c40a434e2a24,delivered,1.0,credit_card,4.0,221.08,e66cfd879876752a96f9c035dbde8e88,5.0,7af7a47d87d53e6db00e70790bba0370,66093.0,belem,PA,perfumery,2018-06-06 18:00:00,2018,June,6,18
